Statement,Rating
Obispo ng Batanes humihingi ng tulong para sa mga nabiktima ng Bagyong Kiko,Real
"Sky lantern sa Thailand, bumagsak, sumabog",Real
"Higit 100 property developers sa T&uuml;rkiye, inaresto kaugnay sa pagguho ng mga gusali sa lindol",Real
"Globe libreng tawag, charging at WiFi nakahanda na para sa​ mga apektado ni #Dante",Real
Umano'y illegal recruiter na nangako ng trabaho sa Canada timbog,Real
VP Leni natuwa sa pagbisita sa Tarlac: PNoy may be gone now but Josh being there really meant a lot,Real
Bilang ng mga may food and waterborne disease sa bansa tumaas,Real
"7 araw bago SIM registration deadline, pagpaparehistro hindi pa rin extended",Real
Veteran broadcaster Dong Puno pumanaw sa edad na 76,Real
Ex-Gov.Teves naghain ng waiver sa DOJ na nagpapahintulot na tingnan ang phone at mga bank accounts,Real
"Ilan pang lugar sa Muntinlupa, naka-lockdown na rin",Real
"Self-confessed gunman Percy Lapid slay case na si Joel Escoria, nailipat na sa PNP Custodial Center",Real
"Senador Zubiri, hindi raw maintindihan kung bakit nais madaliin ng Kamara ang Cha-Cha",Real
WHO nababahala sa secondary health crisis sa Turkey kasunod ng magnitude 7.8 na lindol,Real
Asia’s superstar Kathryn Bernardo isa nang TNT Ka-Tropa,Real
"Dating desk officer ng PNP Bayawan sa Negros Oriental, pina-cite in contempt ng Senado",Real
PNP blanko sa kinaroroonan ng drug lord na si Peter Lim,Real
"PA, pinabulaanang tinurture muna ang mag-asawang Tiamzon bago patayin",Real
"BI, iniimbestigahan na ang iniulat na illegal scamming hubs",Real
"Pagbabayad ng buwis sa Caloocan City, online na rin",Real
Ex-DFA Chief Albert del Rosario pumanaw na sa edad 83,Real
"Suicide cases tumaas noong 2020, suporta sa mga estudyante hiniling ni Sen. Gatchalian",Real
8 arestado sa Bulacan na gumagawa umano ng ilegal na paputok,Real
"Hindi rehistradong SIM cards,  nasa 133.6M pa rin",Real
"Lalaking nagnakaw umano sa isang bike shop, arestado sa QC",Real
"Dalai Lama, humingi ng paumanhin nang pahalikin niya ang batang lalaki sa kaniyang dila",Real
Manilenyo wagi ng P16M jackpot prize sa Lotto,Real
"House, nag donate ng karagdagang P10M humanitarian aid para sa mga biktima ng lindol sa Turkey",Real
"Tulfo, hinimok ang PCSO na bigyan ng health benefits ang mga small-time bet collectors",Real
Bong Go umatras na sa pagtakbong pangulo,Real
‘Di ko kamag-anak si Teves - Sen. Bato,Real
9 sugatan sa tumagilid na jeep sa Kamuning,Real
"Ping Lacson, Bongbong Marcos, Ka Leody nakaboto na sa kani-kanilang voting precinct",Real
"Dengue sa tag-init, babala ng DOH",Real
"Suspek sa pagpatay sa dayuhang taga-New Zealand, sumuko",Real
Kamara inaprubahan na sa 2nd reading ang ‘Accompanying Bill’ ng RBH No. 6 na nagpapatawag ng Con-Con,Real
"Mga pinatutumba umano ni Teves, akusadong pulis nagkaharap",Real
"6 na empleyado ni Teves na naabutan sa raid sa properties nito, nasa kustodiya ngayon ng PNP-CIDG",Real
"Cannahopefuls, isinusulong na gawing legal ang medical marijuana ",Real
"Filipina na trafficking victim sa Myanmar, nagbayad ng ransom – BI",Real
"UFC middleweight world title, nabawi ni Adesanya",Real
Mindoreño nasungkit ang P378M UltraLotto 6/58 jackpot,Real
"Isa sa mga suspek sa Salilig hazing case sumuko na, 6 na iba pa sinampahan ng reklamo",Real
"Lalaking wanted sa pananaksak sa live-in partner sa Zamboanga Sibugay, arestado sa QC",Real
"Comelec, susubaybayan ang pagsunod sa campaign rules ng 4 na kandidato sa special election sa Cavite 7th District",Real
4 sugatan matapos bumagsak ang ‘Wawa Bridge’ sa Pangasinan,Real
Lalaking nag-amok patay sa pananaksak sa Tondo,Real
Bwelta ni JV Ejercito sa chikang nakabuntis siya: Wag kayong gumawa ng istorya dahil may asawa po ang tao…,Real
"48 patay, 40 sugatan sa pananalasa ng bagyong Paeng, 22 katao pa ang nawawala",Real
Testing at quarantine protocols sa mga Pilipinong galing sa ibang bansa niluwagan na,Real
WHO ‘di pa tiyak kung aalisin na ang COVID-19 bilang public health emergency,Real
"Twitter, pinalitan ang kanilang logo ng gaya ng cryptocurrency na Dogecoin",Real
"Pag-angkat ng 330,000 MT bigas, iligal - ex-DA Chief",Real
"COVID-19, hindi na kasama sa top 10 na mga dahilan ng pagkamatay sa Pilipinas",Real
Mga senador lumagda sa isang resolusyon na mariing kumukondena sa pagpaslang kay Gov. Degama,Real
"Aeta chieftain na missing sa Boracay, natagpuan na",Real
"El Niño task force, binuhay ng DA",Real
"Babae, patay matapos umanong saksakin ng live-in partner sa Caloocan; suspek, patay din",Real
Babaeng Japanese fugitive arestado sa opisina ng BI matapos tangkaing palawigin ang kanyang tourist visa,Real
"PAGASA: LPA asahang papasok sa bansa, pero hindi magdadala ng ulan",Real
DOH sa mga may hemophilia: Lumapit sa health centers,Real
"Marcos, nangakong poprotektahan ang kapakanan ng mga OFWs",Real
"Hugot ni Isko: Opo, lumaki akong busabos, ngunit hindi ako naging bastos!",Real
Senate probe sa Degamo slay ‘di magiging ‘kangaroo court’,Real
"Marcos, tiwala na maaabot ng bansa ang rice self-sufficiency status sa loob ng dalawang taon",Real
"Rep. Teves, humiling na makausap si Pangulong Marcos",Real
"Pagpapapako sa krus, papayagan na muli sa San Fernando, Pampanga sa Holy Week 2023",Real
"DFA, handang harapin ang imbestigasyon ng ICC sa war on drugs",Real
ALAMIN: Myths vs. Facts sa pagtutuli,Real
"Nambugbog sa 65-anyos na Fil-Am sa New York City, nahuli na",Real
"5 hinihinalang drug suspect sa Bicol arestado, mahigit P200k halaga ng shabu nasabat",Real
"Senador, isinusulong ang pagkakaroon ng POGO Zone",Real
"DFA, kinumpirmang magpapadala ang Pilipinas ng rescue team sa quake-hit Syria",Real
"Suplay ng bigas, sapat kahit ‘di mag-import - DA",Real
Marco Gumabao ibinandera na ang relasyon nila ni Cristine Reyes: ‘You are my home and my adventure all at once’,Real
"Palasyo, tiniyak na handa ang gobyerno para sa planong transport strike sa Lunes",Real
"Pangulong Marcos, Chinese Foreign Minister Qin Gang nagkausap na",Real
97 lugar sa bansa ang nasa Alert Level 4 – DOH,Real
Publiko pinaalalahanang sumunod sa 5S strategy vs. dengue,Real
Walang cover-up sa P6.7 bilyong shabu haul - Azurin,Real
"P85 SRP sa asukal, itatakda ng DA",Real
"Bantag at dating deputy na si Ricardo Zulueta, itinuturing ng pugante ng PNP",Real
"Depositors na nawalan ng pera sa bank hacking, hinikayat na magreklamo sa BSP",Real
"PCG haharangin ang mga Badjao, ‘passenger background check’ ipatutupad",Real
Dagdag-singil ng Meralco dahil sa generation charge uutay-utayin,Real
"Ex-PDEG chief, 48 pa kakasuhan sa P6.7 bilyong shabu ‘cover-up’",Real
Paggawa ng 'Tausug blend' tea layong ipakilala ang mga Tausug,Real
"24 kolehiyo, unibersidad pinayagan nang magsagawa ng limited face-to-face classes",Real
"‘Libreng Sakay at Meryenda,’ handog ng TNT sa LRT-1 passengers sa ika-12 ng Setyembre",Real
"Teves, kinu-konsidera na umanong isa sa posibleng mastermind sa pagpatay kay Gov. Degamo",Real
"47 opisyal, tauhan ng PNP mananagot sa P6.7-bilyong shabu",Real
"PBBM, tiniyak ang buong suporta sa mga atletang sasabak sa SEA Games",Real
"Solong anak, nasawi rin umano sa hazing ng Tau Gamma Phi sa Cebu",Real
Camarines Sur Polytechnic Colleges naglabas ng pahayag ukol sa ‘plagiarized’ speech issue ng magna cum laude graduate,Real
"Langis mula sa lumubog na tanker, posibleng tumatagas pa rin",Real
Gang sa India pinaghahanap matapos nakawin ang may isang toneladang dyebs ng baka,Real
"Lalaki, arestado matapos magpaputok ng baril habang nag-iinuman sa QC",Real
Singil sa tubig tataas pagpasok ng taong 2023,Real
"Paglipat sa PNP custody ng ‘gunman’ sa Percy Lapid slay, aprub sa korte",Real
PNP naka-heightened alert na,Real
2 online sellers ng Covid-19 test kits arestado sa Maynila,Real
"Frat member, humingi ng tawad kay John Matthew Salilig: 'Sorry talaga'",Real
"Bangkay ng isang college student, natagpuan sa Cavite",Real
"PBBM, nakatanggap ng very good net satisfaction rating – SWS",Real
"Enrique Gil nananatiling Kapamilya, pumirma ng exclusive contract sa ABS-CBN",Real
LOOK: Dating Gabinete ni Noynoy nagpakuha ng huling larawan kasama ang labi ng namayapang pangulo,Real
"Ilang senador, wi-nelcome ang planong expansion ng PhilHealth hemodialysis coverage",Real
"‘Araw ng Pagkabuhay gamitin para magbago, magpakabuti’ – Marcos",Real
Manila LGU pinag-aaralang ibalik ang face mask rule,Real
"Nakakaaliw na TNT video para sa SIM Registration, nag-viral",Real
Maynilad nagbabala ng mas matagal na ‘water interruption’ simula April 1,Real
Gobyerno maaaring makipagtulungan sa FBI sa pagpapauwe kay Cong. Teves,Real
Ex-PNP deputy chief for ops pumalag kay Abalos sa P6.7-bilyon shabu ‘cover up’,Real
Pagtaas ng presyo ng mga produktong baboy iniimbestigahan ng gobyerno,Real
OCTA: Mas maraming Pinoy ang may tiwala kay Pangulong Bongbong,Real
"‘Anti-Taray Bill’ sa mga government workers, isinulong sa Senado",Real
Hosting ng Pilipinas sa FIBA Asia Cup tuloy na,Real
"7 ‘key bilateral agreements’, nakatakdang lagdaan sa Japan Visit ni PBBM",Real
"Marcos, inatasan ang DSWD na ituloy ang pag-calibrate sa 4Ps",Real
"Daan-daang residente sa Lopez, Quezon, inilikas dahil sa 'Amang'",Real
DPWH magsasagawa ng weekend road reblocking,Real
"Criteria para sa A4 COVID-19 vaccination, simple na",Real
"Ayuda para sa mga tsuper, pasahero ipaglalaban ng DOTr, LTFRB — Tugade",Real
"Opisyal ng Sugar Regulatory Administration, nagbitiw sa puwesto",Real
Lingkod Kapamilya nakiisa sa blood donation sa Taytay,Real
"Marcos, pinatawag ang Chinese Envoy upang ipahayag ang pagkabahala sa ginagawa ng China vs. PCG, Filipino Fishermen sa WPS",Real
"Number coding, muling ipinatutupad sa Metro Manila mula Disyembre 1",Real
"P4-B halaga ng hinihinalang shabu na nasa mga tea bag, nasabat sa Baguio City",Real
"Mambabatas, isinusulong ang pagsasama ng electric motorcycle sa bagong EO na nagpapataw ng zero % import tariff sa e-motorcycles",Real
Kaso ng dengue sa Quezon City tumaas ng 176 percent,Real
"SC, pinagtibay ang pagiging legal ng TRAIN law",Real
Philippines-US Balikatan arangkada na ngayon,Real
Ilang lugar sa Luzon at Visayas isinailalim sa signal no. 1 dahil sa Bagyong Amang,Real
"James Yap sa pagsabak sa politika: Hamon ito sa baguhang tulad ko, pero hindi ako matitinag",Real
"95,300 katao nasalanta ni 'Amang' — NDRRMC",Real
"Lalaki, patay matapos pagbabarilin ng nakaalitan umanong TNVS rider",Real
"Allowance ng mga guro sa darating na barangay, SK elections tataasan – Comelec ",Real
"P150 umento sa sahod sa private sector, iginiit  ",Real
Pag-isyu ng papel na lisensiya ikinadismaya ng mga motorista,Real
Bongbong Marcos negatibo sa cocaine,Real
'Isa sa utak': Marvin Miranda pinakakasuhan ng 9 counts ng murder sa Degamo slay,Real
"Ilang mambabatas, hiniling sa mga concerned agencies na ganap na ipatupad ang The Centenarians Act of 2016",Real
"Suporta sa electric vehicles bilang sagot sa tumataas na presyo ng langis, umiigting",Real
"CPP kinumpirma pagkamatay nina Benito at Wilma Tiamzon, 'tinorture' diumano",Real
"Speaker Romualdez, 'di hahadlangan ang imbestigasyon ng Ethics panel kay Rep. Arnie Teves",Real
"HPG chief, nagbitiw matapos na sibakin niya sa puwesto ang sariling anak na nasangkot sa kontrobersiya",Real
Sec. Remulla optimismo na malapit nang maresolba ang kaso ng pagpatay kay Gov. Degamo,Real
"Isang taong transition period para i-phase out ang POGO, sapat na ayon sa isang senador",Real
"Isa pang kaso vs De Lima, dedesisyunan na",Real
"Batang nasa loob ng delivery box ng motorsiklo, nakunan ng video",Real
‘Pink netizens’ nanawagan na isama na si Monsour del Rosario sa senatorial slate ng Leni-Kiko tandem,Real
"Bagyong Odette lalong lumalakas, Signal No. 2 itinaas na sa ilang parte ng Surigao",Real
"‘No permit, no exam’ ban, magpapasara ng maraming pribadong eskwelahan",Real
"DOH iginiit ang pagsusuot ng face mask sa mga Christmas gatherings, events",Real
Madre na itinuturing na pinakamatandang tao sa mundo pumanaw na sa edad 118,Real
"P162M jackpot ng Grand Lotto 6/55, nasungkit na",Real
Malakanyang nalungkot sa pagbagsak ng Pilipinas sa World Happiness Report ranking,Real
"Deped, palalakasin ang numeracy at literacy programs sa revised K to 12 program",Real
"Harry Roque, naospital dahil sa COVID-19",Real
Padilla nagbanta na aalis ng PDP-Laban kung hindi susuportahan ng partido ang Cha-cha,Real
"2 kabataan inaresto nang magprotesta vs Balikatan, EDCA sa US Embassy — PNP",Real
Ano ang e-travel system?,Real
"Panukalang rightsizing sa pamahalaan, lusot na sa Kamara",Real
"Milyun-milyong pisong halaga ng droga umano, nasabat sa condo unit sa Mandaluyong; Syrian national arestado",Real
"Sec. Gatchalian, pinag-iingat ang publiko vs text scam sa ‘unclaimed senior allowances’",Real
"6.6 magnitude na lindol yumanig sa Samar, Bicol",Real
"BI, naalarma kaugnay sa talamak na totoo pero ilegal na nakuhang Philippine passport",Real
"83 Pilipino nasa death row abroad, ayon sa DFA",Real
52% ng Pinoy 'disapprove' sa pagtugon ni Marcos Jr. sa inflation — Pulse Asia,Real
"Security officers sa NAIA, nahuli-cam umano na kumuha ng pera sa papaalis na turistang Thai",Real
"Magkapatid na senior citizen, natagpuang patay sa Maynila; suspek, arestado",Real
CSC Chief nanawagan ng pagkakaisa sa gender mainstreaming sa ASEAN Region,Real
"TNVS driver ng Stephen Speaks, pinalusot umano sa violation matapos magpa-selfie sa banda ang enforcer; MMDA, nag-iimbestiga",Real
"Hindi awtorisadong koleksyon ng prize fund taxes, umabot sa P4-bilyon",Real
Viral na pagsagasa ng isang truck sa isang enforcer na nagmamando ng trapiko sa Quezon City – iimbestigahan,Real
"Bagsik ni ‘Neneng’ ramdam pa rin sa Pinas, ilang klase sa Northern Luzon suspendido",Real
Pulse Asia: 6 sa bawat 10 Pinoy ayaw magpabakuna laban sa Covid-19,Real
PNP chief itinanggi ang umano'y cover-up sa Manila drug raid,Real
Grupo pumalag sa pag-angkat ng buffer stock ng NFA rice,Real
"49% ng mga Pilipino, naniniwalang gaganda ang kalidad ng kanilang pamumuhay sa susunod na 12 buwan -SWS",Real
"PAGASA: Walang bagyo, pero asahan ang kalat-kalat na pag-ulan sa ilang lugar",Real
"Jane de Leon binanatan ng netizen, binuhay ang pagiging Kakampink: Let’s boycott Darna!",Real
"Amnesty International , nanawagan ng independent investigation sa Lapid slay case",Real
Bulkang Taal nakapagtala ng 55 volcanic quakes,Real
"Dating kitchen helper, wagi ng P75.2M sa Grand Lotto 6/55",Real
"Maynilad: Ilang bahagi ng NCR, Cavite mawawalan ng tubig hanggang April 23",Real
LPA magpapaulan sa VisMin; mainit na panahon paparating na — PAGASA,Real
"Mga APOR na nasa granular lockdown, dapat payagang makapagtrabaho ayon kay Marcos",Real
"Korte sa mga lugar na isasailalim sa GCQ, bubuksan na simula sa Mayo 17",Real
Marcos target na 2027 rice 'self-sufficiency' posible kung liberalisasyon tatalikuran — grupo,Real
Mga Government Agencies na hindi aaksyon sa mga reklamo sa loob ng tatlong araw – paiimbestigahan ng ARTA sa Ombudsman,Real
PANOORIN: Karen meets Kaladkaren,Real
"Water level sa Angat Dam, 6 pa patuloy sa pagbaba",Real
"Dayuhang pasahero sa NAIA nawalan ng P50k, naibalik agad ng airport staff",Real
"Lalaking nagpapanggap na may koneksyon sa Makati City Hall, huli dahil sa swindling",Real
4 na Central Luzon areas nagtala ng pinakamataas na bagong kaso ng COVID-19,Real
‘One strike policy’ na magdudulot ng blacklisting at ‘persona non grata’ sa mga taong nagsasagawa ng hazing,Real
Speech ni Japan Prime Minister Kishida hinagisan ng smoke bomb,Real
"Globe libreng tawag, libreng WiFi nakahanda na sa Bagyong Kiko",Real
ALAMIN: Presyo ng mga bulaklak sa Dangwa market at mga kakaibang pangregalo sa Valentine’s Day,Real
"Rider, patay sa pamamaril sa Para&ntilde;aque; insidente, nahuli-cam",Real
"LRT, papayagan na ang pagsakay ng mga pets simula sa Feb. 1",Real
"Person of interest na idinawit sa pagkamatay ni John Mathew Salilig, natagpuang patay",Real
"DMW, magpapadala ng fact-finding team sa Kuwait kasunod ng brutal na pagkamatay ni Jullebee Ranara",Real
Dating Pangulong Marcos naging tulay sa pag-iibigan ng aking magulang – Greco Belgica,Real
"17-anyos na dalagita na 10-araw na sa guho, nasagip sa Turkey",Real
