Statement,Rating,cleaned,cleaned tokenized,period%,comma%,colon%,semicolon%,question mark%,exclamation mark%,dash%,apostrophe%,close parenthesis%,capitalized%,slang words%,curse words%,with numericals%,bigrams,trigrams
Isabela LGU posibleng natagpuan na ang bahagi ng nawawalang Cessna plane,Real,isabela lgu posibleng natagpuan bahagi nawawalang cessna plane,"['isabela', 'lgu', 'posibleng', 'natagpuan', 'bahagi', 'nawawalang', 'cessna', 'plane']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,"['isabela lgu', 'lgu posibleng', 'posibleng natagpuan', 'natagpuan bahagi', 'bahagi nawawalang', 'nawawalang cessna', 'cessna plane']","['isabela lgu posibleng', 'lgu posibleng natagpuan', 'posibleng natagpuan bahagi', 'natagpuan bahagi nawawalang', 'bahagi nawawalang cessna', 'nawawalang cessna plane']"
9 tips para makatipid ng tubig sa panahon ng tag-init ,Real,9 tips makatipid tubig tag init,"['9', 'tips', 'makatipid', 'tubig', 'tag-init']",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,"['9 tips', 'tips makatipid', 'makatipid tubig', 'tubig tag', 'tag init']","['9 tips makatipid', 'tips makatipid tubig', 'makatipid tubig tag', 'tubig tag init']"
"Bagyong Obet posible pang lumakas, Signal no. 1 nakataas sa bahagi ng Northern Luzon",Real,bagyong obet posible pang lumakas signal no 1 nakataas bahagi northern luzon,"['bagyong', 'obet', 'posible', 'pang', 'lumakas', ',', 'signal', 'no', '.', '1', 'nakataas', 'bahagi', 'northern', 'luzon']",0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,"['bagyong obet', 'obet posible', 'posible pang', 'pang lumakas', 'lumakas signal', 'signal no', 'no 1', '1 nakataas', 'nakataas bahagi', 'bahagi northern', 'northern luzon']","['bagyong obet posible', 'obet posible pang', 'posible pang lumakas', 'pang lumakas signal', 'lumakas signal no', 'signal no 1', 'no 1 nakataas', '1 nakataas bahagi', 'nakataas bahagi northern', 'bahagi northern luzon']"
Download speed sa fixed broadband internet ng bansa muling tumaas,Real,download speed fixed broadband internet bansa muling tumaas,"['download', 'speed', 'fixed', 'broadband', 'internet', 'bansa', 'muling', 'tumaas']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['download speed', 'speed fixed', 'fixed broadband', 'broadband internet', 'internet bansa', 'bansa muling', 'muling tumaas']","['download speed fixed', 'speed fixed broadband', 'fixed broadband internet', 'broadband internet bansa', 'internet bansa muling', 'bansa muling tumaas']"
"580 preso sabay-sabay pinalaya, karamihan dahil sa 'good behavior'",Real,580 preso sabay sabay pinalaya 'good behavior',"['580', 'preso', 'sabay-sabay', 'pinalaya', ',', '&apos;', 'good', 'behavior', '&apos;']",0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,"['580 preso', 'preso sabay', 'sabay sabay', 'sabay pinalaya', ""pinalaya 'good"", ""'good behavior'""]","['580 preso sabay', 'preso sabay sabay', 'sabay sabay pinalaya', ""sabay pinalaya 'good"", ""pinalaya 'good behavior'""]"
"Bitay sa mga sangkot sa ilegal na droga, itutulak muli ni Rep. Barbers",Real,bitay sangkot ilegal droga itutulak rep barbers,"['bitay', 'sangkot', 'ilegal', 'droga', ',', 'itutulak', 'rep.', 'barbers']",0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['bitay sangkot', 'sangkot ilegal', 'ilegal droga', 'droga itutulak', 'itutulak rep', 'rep barbers']","['bitay sangkot ilegal', 'sangkot ilegal droga', 'ilegal droga itutulak', 'droga itutulak rep', 'itutulak rep barbers']"
Pagiging No. 3 ni Robin Padilla sa survey ipinagtanggol ng ipaTUPAD partylist: Huwag natin siyang husgahan,Real,pagiging no 3 robin padilla survey ipinagtanggol ipatupad partylist natin siyang husgahan,"['pagiging', 'no.', '3', 'robin', 'padilla', 'survey', 'ipinagtanggol', 'ipatupad', 'partylist', ':', 'natin', 'siyang', 'husgahan']",0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,"['pagiging no', 'no 3', '3 robin', 'robin padilla', 'padilla survey', 'survey ipinagtanggol', 'ipinagtanggol ipatupad', 'ipatupad partylist', 'partylist natin', 'natin siyang', 'siyang husgahan']","['pagiging no 3', 'no 3 robin', '3 robin padilla', 'robin padilla survey', 'padilla survey ipinagtanggol', 'survey ipinagtanggol ipatupad', 'ipinagtanggol ipatupad partylist', 'ipatupad partylist natin', 'partylist natin siyang', 'natin siyang husgahan']"
"Jeepney group, nanawagan sa LTFRB na palawigin ang deadline sa implementasyon ng jeepney modernization program",Real,jeepney group nanawagan ltfrb palawigin deadline implementasyon jeepney modernization program,"['jeepney', 'group', ',', 'nanawagan', 'ltfrb', 'palawigin', 'deadline', 'implementasyon', 'jeepney', 'modernization', 'program']",0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,"['jeepney group', 'group nanawagan', 'nanawagan ltfrb', 'ltfrb palawigin', 'palawigin deadline', 'deadline implementasyon', 'implementasyon jeepney', 'jeepney modernization', 'modernization program']","['jeepney group nanawagan', 'group nanawagan ltfrb', 'nanawagan ltfrb palawigin', 'ltfrb palawigin deadline', 'palawigin deadline implementasyon', 'deadline implementasyon jeepney', 'implementasyon jeepney modernization', 'jeepney modernization program']"
"Lanao del Sur Gov. Adiong, sugatan sa ambush; 4 na kasamahan, patay",Real,lanao del sur gov adiong sugatan ambush 4 kasamahan patay,"['lanao', 'del', 'sur', 'gov.', 'adiong', ',', 'sugatan', 'ambush', ';', '4', 'kasamahan', ',', 'patay']",0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,"['lanao del', 'del sur', 'sur gov', 'gov adiong', 'adiong sugatan', 'sugatan ambush', 'ambush 4', '4 kasamahan', 'kasamahan patay']","['lanao del sur', 'del sur gov', 'sur gov adiong', 'gov adiong sugatan', 'adiong sugatan ambush', 'sugatan ambush 4', 'ambush 4 kasamahan', '4 kasamahan patay']"
Pasahe sa LRT nagbabadyang tumaas matapos aprubahan ng LTFRB,Real,pasahe lrt nagbabadyang tumaas matapos aprubahan ltfrb,"['pasahe', 'lrt', 'nagbabadyang', 'tumaas', 'matapos', 'aprubahan', 'ltfrb']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,"['pasahe lrt', 'lrt nagbabadyang', 'nagbabadyang tumaas', 'tumaas matapos', 'matapos aprubahan', 'aprubahan ltfrb']","['pasahe lrt nagbabadyang', 'lrt nagbabadyang tumaas', 'nagbabadyang tumaas matapos', 'tumaas matapos aprubahan', 'matapos aprubahan ltfrb']"
"DICT: Deadline ng SIM registration, Abril 26 pa rin",Real,dict deadline sim registration abril 26 rin,"['dict', ':', 'deadline', 'sim', 'registration', ',', 'abril', '26', 'rin']",0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,"['dict deadline', 'deadline sim', 'sim registration', 'registration abril', 'abril 26', '26 rin']","['dict deadline sim', 'deadline sim registration', 'sim registration abril', 'registration abril 26', 'abril 26 rin']"
"Anak nina Luis Manzano at Jessy Mendiola na si Baby Peanut bininyagan na, Alex Gonzaga, Nikki Gil tumayong mga ninang",Real,anak nina luis manzano jessy mendiola baby peanut bininyagan alex gonzaga nikki gil tumayong ninang,"['anak', 'nina', 'luis', 'manzano', 'jessy', 'mendiola', 'baby', 'peanut', 'bininyagan', ',', 'alex', 'gonzaga', ',', 'nikki', 'gil', 'tumayong', 'ninang']",0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['anak nina', 'nina luis', 'luis manzano', 'manzano jessy', 'jessy mendiola', 'mendiola baby', 'baby peanut', 'peanut bininyagan', 'bininyagan alex', 'alex gonzaga', 'gonzaga nikki', 'nikki gil', 'gil tumayong', 'tumayong ninang']","['anak nina luis', 'nina luis manzano', 'luis manzano jessy', 'manzano jessy mendiola', 'jessy mendiola baby', 'mendiola baby peanut', 'baby peanut bininyagan', 'peanut bininyagan alex', 'bininyagan alex gonzaga', 'alex gonzaga nikki', 'gonzaga nikki gil', 'nikki gil tumayong', 'gil tumayong ninang']"
PNP magde-deploy ng mas maraming pulis ngayong kapaskuhan,Real,pnp magde deploy mas maraming pulis ngayong kapaskuhan,"['pnp', 'magde-deploy', 'mas', 'maraming', 'pulis', 'ngayong', 'kapaskuhan']",0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,"['pnp magde', 'magde deploy', 'deploy mas', 'mas maraming', 'maraming pulis', 'pulis ngayong', 'ngayong kapaskuhan']","['pnp magde deploy', 'magde deploy mas', 'deploy mas maraming', 'mas maraming pulis', 'maraming pulis ngayong', 'pulis ngayong kapaskuhan']"
Teves humingi ng tulong kay PBBM sa umano’y panggigipit ng ilang opisyal,Real,teves humingi tulong kay pbbm umano y panggigipit ilang opisyal,"['teves', 'humingi', 'tulong', 'kay', 'pbbm', 'umano', '’', 'y', 'panggigipit', 'ilang', 'opisyal']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,"['teves humingi', 'humingi tulong', 'tulong kay', 'kay pbbm', 'pbbm umano', 'umano y', 'y panggigipit', 'panggigipit ilang', 'ilang opisyal']","['teves humingi tulong', 'humingi tulong kay', 'tulong kay pbbm', 'kay pbbm umano', 'pbbm umano y', 'umano y panggigipit', 'y panggigipit ilang', 'panggigipit ilang opisyal']"
"DSWD, UP tutulong na habulin ang ‘child support’ mula sa mga magulang sa ibang bansa",Real,dswd up tutulong habulin child support magulang ibang bansa,"['dswd', ',', 'up', 'tutulong', 'habulin', '‘', 'child', 'support', '’', 'magulang', 'ibang', 'bansa']",0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,"['dswd up', 'up tutulong', 'tutulong habulin', 'habulin child', 'child support', 'support magulang', 'magulang ibang', 'ibang bansa']","['dswd up tutulong', 'up tutulong habulin', 'tutulong habulin child', 'habulin child support', 'child support magulang', 'support magulang ibang', 'magulang ibang bansa']"
"Ilang lugar sa Visayas, Mindanao positibo sa ‘red tide’ – BFAR",Real,ilang lugar visayas mindanao positibo red tide bfar,"['ilang', 'lugar', 'visayas', ',', 'mindanao', 'positibo', '‘', 'red', 'tide', '’', '–', 'bfar']",0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,"['ilang lugar', 'lugar visayas', 'visayas mindanao', 'mindanao positibo', 'positibo red', 'red tide', 'tide bfar']","['ilang lugar visayas', 'lugar visayas mindanao', 'visayas mindanao positibo', 'mindanao positibo red', 'positibo red tide', 'red tide bfar']"
Anak ni DOJ Chief Remulla ‘not guilty’ sa kasong illegal drug possession,Real,anak doj chief remulla not guilty kasong illegal drug possession,"['anak', 'doj', 'chief', 'remulla', '‘', 'not', 'guilty', '’', 'kasong', 'illegal', 'drug', 'possession']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,"['anak doj', 'doj chief', 'chief remulla', 'remulla not', 'not guilty', 'guilty kasong', 'kasong illegal', 'illegal drug', 'drug possession']","['anak doj chief', 'doj chief remulla', 'chief remulla not', 'remulla not guilty', 'not guilty kasong', 'guilty kasong illegal', 'kasong illegal drug', 'illegal drug possession']"
NGO nababahala sa pagkalat ng Covid-19 sa inililikas dahil sa nag-aalburutong Bulkang Taal,Real,ngo nababahala pagkalat covid 19 inililikas aalburutong bulkang taal,"['ngo', 'nababahala', 'pagkalat', 'covid-19', 'inililikas', 'nag-aalburutong', 'bulkang', 'taal']",0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,"['ngo nababahala', 'nababahala pagkalat', 'pagkalat covid', 'covid 19', '19 inililikas', 'inililikas aalburutong', 'aalburutong bulkang', 'bulkang taal']","['ngo nababahala pagkalat', 'nababahala pagkalat covid', 'pagkalat covid 19', 'covid 19 inililikas', '19 inililikas aalburutong', 'inililikas aalburutong bulkang', 'aalburutong bulkang taal']"
"Dating Japanese PM Shinzo Abe, pumanaw na matapos barilin",Real,dating japanese pm shinzo abe pumanaw matapos barilin,"['dating', 'japanese', 'pm', 'shinzo', 'abe', ',', 'pumanaw', 'matapos', 'barilin']",0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,"['dating japanese', 'japanese pm', 'pm shinzo', 'shinzo abe', 'abe pumanaw', 'pumanaw matapos', 'matapos barilin']","['dating japanese pm', 'japanese pm shinzo', 'pm shinzo abe', 'shinzo abe pumanaw', 'abe pumanaw matapos', 'pumanaw matapos barilin']"
"Romualdez, dismayado sa pagkadawit ng ilang PNP officials sa P6.7 billion shabu",Real,romualdez dismayado pagkadawit ilang pnp officials p6 7 billion shabu,"['romualdez', ',', 'dismayado', 'pagkadawit', 'ilang', 'pnp', 'officials', 'p6.7', 'billion', 'shabu']",0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,"['romualdez dismayado', 'dismayado pagkadawit', 'pagkadawit ilang', 'ilang pnp', 'pnp officials', 'officials p6', 'p6 7', '7 billion', 'billion shabu']","['romualdez dismayado pagkadawit', 'dismayado pagkadawit ilang', 'pagkadawit ilang pnp', 'ilang pnp officials', 'pnp officials p6', 'officials p6 7', 'p6 7 billion', '7 billion shabu']"
Higit 300 manlalaro lumahok sa finals ng Rodeo Masbateño,Real,higit 300 manlalaro lumahok finals rodeo masbate,"['higit', '300', 'manlalaro', 'lumahok', 'finals', 'rodeo', 'masbateño']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,"['higit 300', '300 manlalaro', 'manlalaro lumahok', 'lumahok finals', 'finals rodeo', 'rodeo masbate']","['higit 300 manlalaro', '300 manlalaro lumahok', 'manlalaro lumahok finals', 'lumahok finals rodeo', 'finals rodeo masbate']"
"Bong Go: China-Taiwan tension, OFWs tiyaking ligtas",Real,bong go china taiwan tension ofws tiyaking ligtas,"['bong', 'go', ':', 'china-taiwan', 'tension', ',', 'ofws', 'tiyaking', 'ligtas']",0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,"['bong go', 'go china', 'china taiwan', 'taiwan tension', 'tension ofws', 'ofws tiyaking', 'tiyaking ligtas']","['bong go china', 'go china taiwan', 'china taiwan tension', 'taiwan tension ofws', 'tension ofws tiyaking', 'ofws tiyaking ligtas']"
"Giant billboard ni Imelda Marcos trending sa social media, bakit kaya?",Real,giant billboard imelda marcos trending social media,"['giant', 'billboard', 'imelda', 'marcos', 'trending', 'social', 'media', ',', '?']",0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['giant billboard', 'billboard imelda', 'imelda marcos', 'marcos trending', 'trending social', 'social media']","['giant billboard imelda', 'billboard imelda marcos', 'imelda marcos trending', 'marcos trending social', 'trending social media']"
"Grupo, nanawagan sa DepEd at CHEDna tugunan ang tinwag nilang vape epidemic sa mga kabataang Pilipino",Real,grupo nanawagan deped chedna tugunan tinwag vape epidemic kabataang pilipino,"['grupo', ',', 'nanawagan', 'deped', 'chedna', 'tugunan', 'tinwag', 'vape', 'epidemic', 'kabataang', 'pilipino']",0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['grupo nanawagan', 'nanawagan deped', 'deped chedna', 'chedna tugunan', 'tugunan tinwag', 'tinwag vape', 'vape epidemic', 'epidemic kabataang', 'kabataang pilipino']","['grupo nanawagan deped', 'nanawagan deped chedna', 'deped chedna tugunan', 'chedna tugunan tinwag', 'tugunan tinwag vape', 'tinwag vape epidemic', 'vape epidemic kabataang', 'epidemic kabataang pilipino']"
Support group nais mapalaya na ang pinakamatandang bilanggong-pulitikal,Real,support group mapalaya pinakamatandang bilanggong pulitikal,"['support', 'group', 'mapalaya', 'pinakamatandang', 'bilanggong-pulitikal']",0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,"['support group', 'group mapalaya', 'mapalaya pinakamatandang', 'pinakamatandang bilanggong', 'bilanggong pulitikal']","['support group mapalaya', 'group mapalaya pinakamatandang', 'mapalaya pinakamatandang bilanggong', 'pinakamatandang bilanggong pulitikal']"
Oriental Mindoro maaaring makaranas ng blackout,Real,oriental mindoro makaranas blackout,"['oriental', 'mindoro', 'makaranas', 'blackout']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['oriental mindoro', 'mindoro makaranas', 'makaranas blackout']","['oriental mindoro makaranas', 'mindoro makaranas blackout']"
Walang Pilipinong kabilang sa mga namatay sa banggaan ng 2 tren sa Greece,Real,pilipinong kabilang namatay banggaan 2 tren greece,"['pilipinong', 'kabilang', 'namatay', 'banggaan', '2', 'tren', 'greece']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,"['pilipinong kabilang', 'kabilang namatay', 'namatay banggaan', 'banggaan 2', '2 tren', 'tren greece']","['pilipinong kabilang namatay', 'kabilang namatay banggaan', 'namatay banggaan 2', 'banggaan 2 tren', '2 tren greece']"
"Kampo ni Cong. Teves, ki-nuwestyong ang narekober na granada sa kaniyang tahanan",Real,kampo cong teves ki nuwestyong narekober granada kaniyang tahanan,"['kampo', 'cong', '.', 'teves', ',', 'ki-nuwestyong', 'narekober', 'granada', 'kaniyang', 'tahanan']",0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,"['kampo cong', 'cong teves', 'teves ki', 'ki nuwestyong', 'nuwestyong narekober', 'narekober granada', 'granada kaniyang', 'kaniyang tahanan']","['kampo cong teves', 'cong teves ki', 'teves ki nuwestyong', 'ki nuwestyong narekober', 'nuwestyong narekober granada', 'narekober granada kaniyang', 'granada kaniyang tahanan']"
New Year message ni PBBM sa mga Filipino-Chinese: Have deeper compassion to those who have less in life,Real,new year message pbbm filipino chinese have deeper compassion to those who have less in life,"['new', 'year', 'message', 'pbbm', 'filipino-chinese', ':', 'have', 'deeper', 'compassion', 'to', 'those', 'who', 'have', 'less', 'in', 'life']",0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,"['new year', 'year message', 'message pbbm', 'pbbm filipino', 'filipino chinese', 'chinese have', 'have deeper', 'deeper compassion', 'compassion to', 'to those', 'those who', 'who have', 'have less', 'less in', 'in life']","['new year message', 'year message pbbm', 'message pbbm filipino', 'pbbm filipino chinese', 'filipino chinese have', 'chinese have deeper', 'have deeper compassion', 'deeper compassion to', 'compassion to those', 'to those who', 'those who have', 'who have less', 'have less in', 'less in life']"
"P4.7-B halaga ng service contracting payouts naibigay na sa mga driver, operator",Real,p4 7 b halaga service contracting payouts naibigay driver operator,"['p4.7-b', 'halaga', 'service', 'contracting', 'payouts', 'naibigay', 'driver', ',', 'operator']",0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,"['p4 7', '7 b', 'b halaga', 'halaga service', 'service contracting', 'contracting payouts', 'payouts naibigay', 'naibigay driver', 'driver operator']","['p4 7 b', '7 b halaga', 'b halaga service', 'halaga service contracting', 'service contracting payouts', 'contracting payouts naibigay', 'payouts naibigay driver', 'naibigay driver operator']"
"Mga opisyal ng barangay sa San Jose del Monte, nag-sorry sa Grab rider kaugnay sa kontrobersiya ng lugaw",Real,opisyal barangay san jose del monte sorry grab rider kaugnay kontrobersiya lugaw,"['opisyal', 'barangay', 'san', 'jose', 'del', 'monte', ',', 'nag-sorry', 'grab', 'rider', 'kaugnay', 'kontrobersiya', 'lugaw']",0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,"['opisyal barangay', 'barangay san', 'san jose', 'jose del', 'del monte', 'monte sorry', 'sorry grab', 'grab rider', 'rider kaugnay', 'kaugnay kontrobersiya', 'kontrobersiya lugaw']","['opisyal barangay san', 'barangay san jose', 'san jose del', 'jose del monte', 'del monte sorry', 'monte sorry grab', 'sorry grab rider', 'grab rider kaugnay', 'rider kaugnay kontrobersiya', 'kaugnay kontrobersiya lugaw']"
